id,name,img,desc,price,brand,link
1,Pants,pics/21.jpg,Cotton Jogger For Men,430,Daraz,https://www.daraz.com.bd/products/cotton-jogger-for-men-i132014137-s1052690165.html?spm=a2a0e.searchlist.list.2.148a298eOMNtMV&search=1
2,Pants,pics/22.jpg,Dark Gray Cotton Trendy Joggers for Men.,440,Daraz,
3,Pants,pics/23.jpg,Men's Comfortable Slim Fit Casual Denim Jeans Pant,195,Daraz,
4,Pants,pics/24.jpg,Cotton Jogger For Men,1099,Daraz,
5,Pants,pics/25.jpg,Trouser - Fabric soft and comfortable,497,Daraz,
6,Pants,pics/26.jpg,New Good Looking & Stylish Denim Jeans Pant For Men,240,Daraz,
7,Pants,pics/27.jpg,Fabrilife Premium Trouser - Navy Striped (MTP28),545,Daraz,
8,Pants,pics/28.jpg,Exclusive Low Price & Comfortable Denim Jeans Pant For Men,190,Daraz,
9,Pants,pics/29.jpg,Trendy Men's Clothing New Casual Twill Gabardine Pant,190,Daraz,
10,Pants,pics/30.jpg,Fabrilife Premium Trouser - Crimson (MTP33),545,Daraz,
11,Pants,pics/31.jpg,Stylish Twill Gabardine Pant For Men,180,Daraz,
12,Pants,pics/32.jpg,New Stylish Regular Slim Fit Denim Jens Pant,210,Daraz,
13,Pants,pics/33.jpg,NEW EXPORT QUALITY STRETCH JEANS PANT FOR MEN,270,Daraz,
14,Pants,pics/34.jpg,Cotton Jogger For Men,430,Daraz,
15,Pants,pics/35.jpg,New Casual Slim Fit Denim Jeans pant For Men,218,Daraz,
16,Pants,pics/36.jpg,Black Cotton Jogger For Men Stylish Trouser Sweat-pants,250,Daraz,
17,Pants,pics/37.jpg,New Stylish Trendy Twill Stretch Washed Slim-Fit Chinos Pant For Men,180,Daraz,
18,Pants,pics/38.jpg,Black Cotton Jogger For Men,999,Daraz,
19,Pants,pics/39.jpg,Men's Fashionable Denim Jeans Pant,190,Daraz,
20,Pants,pics/40.jpg,Fabrilife Premium Trouser - Imperial (MTP32),545,Daraz,
21,Pants,pics/41.jpeg,Denim Stretchable Jeans Pant for Men - HR 018,930,PrioShop,
22,Pants,pics/42.jpeg,Stretchable Jeans Pant for Men ZH 19,800,PrioShop,
23,Pants,pics/43.jpeg,XHC Xpel Green Tea Shampoo - 400ml,500,PrioShop,
24,Pants,pics/44.jpeg,Awash Denim Jeans Pant for Men - F04,890,PrioShop,
25,Pants,pics/45.jpeg,Twill Gabardine Pant for Men - 719022,660,PrioShop,
26,Pants,pics/46.jpeg,Grey Trousers For Men MLT-003,750,PrioShop,
27,Pants,pics/47.jpeg,Charcoal Trousers For Men MLT-002,750,PrioShop,
28,Pants,pics/48.jpeg,Black Trousers For Men MLT-001,750,PrioShop,
29,Pants,pics/49.jpeg,Theo White Stripe Batik Pant for Women - Theo424,495,PrioShop,
30,Pants,pics/50.jpeg,Theo Ripped High Waist Jeans Pant - Theo423,495,PrioShop,
31,Pants,pics/51.jpeg,Theo Pull & Bear Embroidery High Waist Ripped Pant - Theo421,539,PrioShop,
32,Pants,pics/52.jpeg,Theo Mom Fit Pant for Women - Theo414,495,PrioShop,
33,Pants,pics/53.jpeg,Theo High Waist Rip Jeans Pant for Women - Theo425,539,PrioShop,
34,Pants,pics/54.jpeg,Theo High Waist Knot Style Formal Pant - Theo411,539,PrioShop,
35,Pants,pics/55.jpeg,Theo High Waist Jeans Pant for Women - Theo426,495,PrioShop,
36,Pants,pics/56.jpeg,Theo High Waist Jeans Pant - Theo422,539,PrioShop,
37,Pants,pics/57.jpeg,Theo Front Knot Pant for Women - Theo402,539,PrioShop,
38,Pants,pics/58.jpeg,Theo Formal Cotton Pant for Women - Theo401,495,PrioShop,
39,Pants,pics/59.jpeg,Theo Floral Cotton Pant for Women - Theo423,495,PrioShop,
40,Pants,pics/60.jpeg,Theo Floral Cotton Pant for Women - Theo422,495,PrioShop,
